label;study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl
1002;Abedali et al. 2020;2020;USA;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/11/2008;31/7/2016;148;0.1;0.046;74;0.31;0.099
1001;Abedali et al. 2020;2020;USA;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2004;31/12/2016;11;0.17;0.27;12;0.41;0.64
1657;Kim et al. 2012;2012;Korea;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/4/2009;30/6/2011;67;0.01;0.24;83;0.06;0.23
1062;Kim et al. 2019;2019;Korea;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/6/2003;31/3/2017;85;0.01;0.035;64;0.01;0.036
1670;Kopru et al. 2020;2020;Turkey;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/11/2015;31/12/2019;30;0.09;0.056;26;0.16;0.194
1534;Lee et al. 2011;2011;Korea;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/5/2003;31/12/2010;69;0.07;0.12;234;0.068;0.11
1079;Luciani et al. 2017;2017;Italy;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2005;30/6/2016;110;0.1;0.069;73;0.1;0.075
1542;Masson-Lecomte et al. 2013;2013;France;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2008;31/12/2010;42;0.1;0.071;58;0.12;0.06
1083;Mearini et al. 2016;2016;Italy;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2006;31/12/2015;31;-0.08;0.044;80;-0.01;0.103
1084;Mehra et al. 2019;2019;India;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2011;31/7/2018;13;0;0.662;26;0.02;0.454
1087;Minervini et al. 2013;2013;Italy;Multicenter studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2010;31/12/2011;104;0.3;0.1;198;0.2;0.3
1098;Oh et al. 2014;2014;Korea;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/5/2003;31/5/2013;100;0.05;0.053;100;0.03;0.082
1135;Tan et al. 2018;2018;Australia;Single-center studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2010;31/12/2016;145;0.023;0.109;55;0.057;0.193
1142;Vittori et al. 2014;2014;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2010;31/12/2011;105;0.3;0.1;198;0.2;0.3
1146;Webb et al. 2015;2015;Egypt;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2005;31/12/2011;14;0.1;0.115;21;0.05;0.126
